Category Rollup,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Taxes
Rainbow 83 roll up,35,"$6,640,106.78",-29,"-$5,514,142.12","-$563,151.96","$562,812.70","$3,012.41"
Other Categories,128,"$5,096,974.64",-100,"-$4,677,513.57","-$25,370.00","$394,091.07","$16,646.95"
