Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded,GTIN
Custom Amount,No description,"",Uncategorized,40,"$394,293.82",-14,"-$141,750.95",$0.00,"$252,542.87","$6,257.13",ea,40,-14,""
Point of sales for Bitcoin,Regular,"",Uncategorized,5,"$40,002.00",-4,"-$32,000.00",$0.00,"$8,002.00",$660.16,ea,5,-4,""
Point of sales for Restaurants,Regular,E392699,Uncategorized,1,$0.00,0,$0.00,$0.00,$0.00,$0.00,ea,1,0,""
Restaurant payments,Regular,"",Uncategorized,1,"$49,049.02",0,$0.00,"-$1,500.00","$47,549.02",$950.98,ea,1,0,""
Point of Sales,Regular,895116Q,Point of Sales for Restaurants,1,"$9,409.99",0,$0.00,$0.00,"$9,409.99","$1,366.33",ea,1,0,""
Rainbow 83,Regular,K574672,Point of Sales for Restaurants,1,"$7,527.99",0,$0.00,$0.00,"$7,527.99","$1,093.07",ea,1,0,""
